customer_key,customer_id,country,cohort_label,net_revenue,net_revenue_cmp,returns_value,orders,revenue_rank,cumulative_revenue_share_pct
526,12941,United Kingdom,2011-02,201.69,0.0,5.5,1,373,89.63
1002,13428,United Kingdom,2010-06,201.65,245.02,0.0,2,374,89.72
1650,14095,United Kingdom,2010-12,201.6,0.0,162.26,2,375,89.81
407,12818,United Kingdom,2011-11,200.15,0.0,0.0,1,376,89.89
2026,14485,United Kingdom,2011-11,199.94,0.0,0.0,1,377,89.98
1778,14226,United Kingdom,2010-09,199.39,0.0,10.2,1,378,90.07
1662,14107,United Kingdom,2010-04,197.96,507.73,24.22,1,379,90.15
1232,13667,United Kingdom,2010-11,196.67,222.5,0.0,1,380,90.24
1011,13437,United Kingdom,2010-10,196.5,616.73,35.04,2,381,90.32
159,12562,Belgium,2011-06,196.44,0.0,28.62,2,382,90.41
1725,14172,United Kingdom,2010-11,195.89,67.08,23.28,2,383,90.49
2167,14631,United Kingdom,2010-11,195.87,239.25,25.48,3,384,90.58
1409,13848,United Kingdom,2010-11,195.82,143.94,0.0,1,385,90.66
1699,14145,United Kingdom,2011-10,195.58,0.0,115.18,2,386,90.75
59,12461,United Kingdom,2011-08,195.48,0.0,0.0,3,387,90.83
96,12498,United Kingdom,2011-07,194.01,0.0,28.87,2,388,90.92
1675,14120,EIRE,2011-05,190.03,0.0,0.0,1,389,91.0
1416,13856,United Kingdom,2011-11,189.56,0.0,0.0,1,390,91.08
2281,14746,United Kingdom,2011-11,188.84,0.0,0.0,1,391,91.16
1076,13504,United Kingdom,2011-11,187.41,0.0,0.0,1,392,91.25
76,12478,United Kingdom,2011-04,187.34,0.0,0.0,1,393,91.33
150,12553,United Kingdom,2011-02,187.08,0.0,38.85,2,394,91.41
613,13032,United Kingdom,2011-11,186.64,0.0,0.0,1,395,91.49
1966,14423,United Kingdom,2010-07,186.03,1505.15,9.42,2,396,91.57
499,12913,United Kingdom,2010-05,185.79,55.02,0.0,2,397,91.65
567,12983,United Kingdom,2011-11,185.41,0.0,0.0,1,398,91.73
1485,13926,France,2011-08,185.24,0.0,61.92,2,399,91.81
568,12984,United Kingdom,2011-11,182.99,0.0,0.0,2,400,91.89
1741,14189,United Kingdom,2011-06,181.62,0.0,0.0,2,401,91.97
2315,14782,France,2011-11,181.13,0.0,0.0,1,402,92.05
23,12424,United Kingdom,2011-11,180.9,0.0,0.0,1,403,92.13
828,13251,Germany,2010-05,180.01,0.0,0.0,1,404,92.2
278,12684,United Kingdom,2011-10,179.98,0.0,0.0,2,405,92.28
2331,14799,United Kingdom,2011-11,179.29,0.0,0.0,1,406,92.36
394,12805,France,2011-10,178.75,0.0,0.0,1,407,92.44
2262,14727,United Kingdom,2010-12,177.79,0.0,10.57,1,408,92.51
1170,13603,United Kingdom,2011-05,175.06,0.0,19.76,1,409,92.59
1252,13687,Spain,2011-04,174.99,0.0,32.13,2,410,92.67
2290,14756,United Kingdom,2011-11,174.2,0.0,0.0,1,411,92.74
549,12965,United Kingdom,2011-04,173.38,0.0,0.0,2,412,92.82
756,13178,United Kingdom,2011-01,171.94,0.0,0.0,2,413,92.89
1598,14042,United Kingdom,2011-08,171.6,0.0,0.0,2,414,92.97
1748,14196,United Kingdom,2011-10,171.3,0.0,0.0,1,415,93.04
2034,14493,United Kingdom,2011-09,171.25,0.0,0.0,4,416,93.11
2274,14739,United Kingdom,2011-11,170.73,0.0,0.0,1,417,93.19
648,13067,Belgium,2011-09,170.61,0.0,0.0,1,418,93.26
2155,14618,France,2010-12,170.35,0.0,0.0,2,419,93.34
281,12687,United Kingdom,2011-11,168.88,0.0,0.0,1,420,93.41
728,13149,United Kingdom,2010-10,167.73,0.0,0.0,1,421,93.48
290,12696,United Kingdom,2011-09,166.73,0.0,0.0,2,422,93.55
1015,13441,United Kingdom,2011-10,165.12,0.0,30.4,2,423,93.63
1628,14073,United Kingdom,2011-11,165.08,0.0,0.0,1,424,93.7
57,12459,United Kingdom,2011-11,163.35,0.0,0.0,3,425,93.77
1423,13863,United Kingdom,2011-06,161.44,0.0,32.0,3,426,93.84
1731,14178,United Kingdom,2010-12,161.04,0.0,0.0,2,427,93.91
688,13108,United Kingdom,2010-04,159.82,718.93,47.5,2,428,93.98
453,12865,United Kingdom,2011-02,158.91,0.0,0.0,1,429,94.05
1201,13634,United Kingdom,2011-11,158.68,0.0,0.0,1,430,94.12
1221,13656,United Kingdom,2011-03,156.31,0.0,0.0,1,431,94.18
833,13256,United Kingdom,2010-08,155.58,955.62,17.8,1,432,94.25
1323,13759,Germany,2011-11,155.11,0.0,0.0,1,433,94.32
678,13098,United Kingdom,2011-07,155.04,0.0,52.0,1,434,94.39
883,13309,United Kingdom,2011-10,154.8,0.0,0.0,1,435,94.45
1291,13726,United Kingdom,2010-03,153.81,0.0,24.97,2,436,94.52
1328,13764,United Kingdom,2010-02,153.68,150.08,0.0,1,437,94.59
1009,13435,United Kingdom,2011-11,153.11,0.0,0.0,1,438,94.65
151,12554,United Kingdom,2011-11,152.14,0.0,0.0,2,439,94.72
1006,13432,United Kingdom,2010-08,151.21,51.27,0.0,3,440,94.78
1414,13854,United Kingdom,2011-04,150.72,0.0,0.0,1,441,94.85
1449,13889,United Kingdom,2010-12,148.15,0.0,0.0,1,442,94.91
1693,14139,United Kingdom,2011-08,147.91,0.0,21.12,1,443,94.98
1087,13515,United Kingdom,2010-10,147.08,0.0,0.0,1,444,95.04
1397,13836,Switzerland,2011-07,146.47,0.0,0.0,1,445,95.11
1478,13918,United Kingdom,2011-01,145.72,0.0,38.13,1,446,95.17
586,13002,United Kingdom,2011-02,142.04,0.0,0.0,1,447,95.23
390,12801,United Kingdom,2010-04,141.72,108.88,15.65,1,448,95.29
2154,14617,United Kingdom,2011-10,141.57,0.0,0.0,1,449,95.35
1620,14065,United Kingdom,2011-11,140.86,0.0,0.0,1,450,95.41
2130,14593,United Kingdom,2010-03,139.98,321.86,0.0,1,451,95.47
1185,13618,United Kingdom,2010-03,139.9,373.84,0.0,1,452,95.54
332,12739,United Kingdom,2011-09,138.68,0.0,55.55,2,453,95.6
1228,13663,United Kingdom,2011-07,137.57,0.0,16.0,1,454,95.66
172,12575,United Kingdom,2011-02,137.02,0.0,22.96,1,455,95.71
39,12440,United Kingdom,2010-05,136.98,0.0,0.0,2,456,95.77
1571,14015,Spain,2010-04,136.34,215.67,0.0,2,457,95.83
435,12847,United Kingdom,2011-10,136.12,0.0,69.58,1,458,95.89
1314,13750,United Kingdom,2011-05,133.16,0.0,0.0,1,459,95.95
98,12500,United Kingdom,2011-09,131.53,0.0,0.0,1,460,96.01
1089,13517,United Kingdom,2010-08,131.15,450.69,0.0,1,461,96.06
1968,14425,United Kingdom,2011-07,129.0,0.0,55.66,1,462,96.12
665,13085,United Kingdom,2010-06,128.06,0.0,117.6,2,463,96.18
538,12953,United Kingdom,2011-11,126.91,0.0,0.0,1,464,96.23
1139,13571,United Kingdom,2011-08,126.77,0.0,0.0,2,465,96.29
2263,14728,Belgium,2011-07,126.02,0.0,43.6,1,466,96.34
948,13374,United Kingdom,2011-08,124.62,0.0,0.0,2,467,96.39
1052,13480,United Kingdom,2010-05,124.25,1217.66,0.0,1,468,96.45
563,12979,United Kingdom,2011-11,123.49,0.0,0.0,1,469,96.5
767,13189,United Kingdom,2011-11,123.24,0.0,0.0,1,470,96.55
2190,14654,United Kingdom,2011-09,121.31,0.0,0.0,1,471,96.61
142,12544,United Kingdom,2011-10,120.65,0.0,0.0,2,472,96.66
1492,13933,United Kingdom,2010-05,117.02,0.0,0.0,1,473,96.71
1168,13601,United Kingdom,2010-09,117.01,0.0,0.0,1,474,96.76
232,12637,United Kingdom,2011-11,115.3,0.0,0.0,1,475,96.81
649,13068,United Kingdom,2011-04,114.95,0.0,0.0,3,476,96.86
2255,14720,United Kingdom,2011-07,111.86,0.0,0.0,1,477,96.91
275,12681,United Kingdom,2011-11,111.76,0.0,0.0,1,478,96.96
582,12998,United Kingdom,2011-04,110.41,0.0,30.48,1,479,97.01
2103,14565,United Kingdom,2011-07,109.28,0.0,24.68,1,480,97.05
1179,13612,United Kingdom,2011-10,109.04,0.0,0.0,1,481,97.1
13,12413,United Kingdom,2010-01,108.52,0.0,0.0,1,482,97.15
292,12698,United Kingdom,2010-06,108.43,0.0,0.0,1,483,97.19
1700,14146,United Kingdom,2011-06,107.62,0.0,0.0,1,484,97.24
1339,13775,United Kingdom,2010-03,107.39,107.46,0.0,1,485,97.29
824,13247,United Kingdom,2010-12,107.25,0.0,0.0,1,486,97.33
2275,14740,United Kingdom,2011-04,107.23,0.0,71.96,1,487,97.38
556,12972,United Kingdom,2011-11,106.24,0.0,0.0,1,488,97.43
374,12784,United Kingdom,2011-06,105.3,0.0,0.0,2,489,97.47
964,13390,United Kingdom,2011-10,104.51,0.0,0.0,1,490,97.52
517,12931,United Kingdom,2010-11,104.28,111.44,0.0,1,491,97.56
1973,14431,United Kingdom,2010-11,103.12,192.9,0.0,1,492,97.61
1544,13988,United Kingdom,2011-11,102.88,0.0,0.0,1,493,97.65
259,12664,Germany,2010-03,102.81,0.0,0.0,1,494,97.7
2005,14463,United Kingdom,2011-11,101.69,0.0,0.0,1,495,97.74
843,13266,United Kingdom,2010-09,100.37,335.21,0.0,1,496,97.78
1803,14252,United Kingdom,2010-09,100.12,289.83,0.0,1,497,97.83
1637,14082,United Kingdom,2011-10,99.92,0.0,0.0,2,498,97.87
697,13117,France,2011-11,98.94,0.0,0.0,1,499,97.91
1498,13940,France,2011-09,98.01,0.0,0.0,1,500,97.96
1726,14173,United Kingdom,2011-05,96.48,0.0,0.0,1,501,98.0
714,13135,Spain,2011-09,95.72,0.0,0.0,1,502,98.04
924,13350,Norway,2011-09,95.27,0.0,0.0,1,503,98.08
933,13359,United Kingdom,2010-07,94.39,0.0,0.0,1,504,98.12
1736,14183,United Kingdom,2011-08,92.18,0.0,0.0,1,505,98.16
795,13218,United Kingdom,2010-05,91.06,-154.0,9.56,1,506,98.2
623,13042,United Kingdom,2011-10,90.67,0.0,0.0,2,507,98.24
366,12776,United Kingdom,2011-10,89.94,0.0,0.0,1,508,98.28
463,12875,United Kingdom,2011-08,89.58,0.0,0.0,2,509,98.32
301,12707,United Kingdom,2011-11,88.8,0.0,0.0,1,510,98.36
1833,14286,United Kingdom,2011-06,87.44,0.0,46.4,2,511,98.4
566,12982,United Kingdom,2011-08,87.08,0.0,0.0,3,512,98.43
1870,14324,Germany,2010-11,86.58,32.63,0.0,1,513,98.47
1114,13544,Belgium,2011-10,86.45,0.0,0.0,1,514,98.51
1886,14340,United Kingdom,2010-08,86.3,203.79,35.04,1,515,98.55
1242,13677,United Kingdom,2010-03,85.86,0.0,0.0,1,516,98.58
1704,14150,Germany,2011-10,85.4,0.0,0.0,1,517,98.62
1661,14106,United Kingdom,2011-11,85.19,0.0,0.0,2,518,98.66
2119,14582,United Kingdom,2010-07,84.18,147.28,0.0,2,519,98.69
2110,14573,United Kingdom,2011-01,82.78,0.0,58.64,1,520,98.73
248,12653,United Kingdom,2011-10,82.35,0.0,0.0,1,521,98.76
201,12604,United Kingdom,2011-11,81.63,0.0,0.0,1,522,98.8
224,12627,Switzerland,2011-10,81.58,0.0,0.0,1,523,98.84
50,12452,United Kingdom,2011-08,81.24,0.0,0.0,1,524,98.87
658,13077,United Kingdom,2010-08,81.12,0.0,0.0,1,525,98.91
1550,13994,United Kingdom,2011-11,79.2,0.0,67.56,2,526,98.94
2314,14781,United Kingdom,2011-10,78.43,0.0,67.44,1,527,98.97
2136,14599,United Kingdom,2011-08,77.77,0.0,71.61,1,528,99.01
2117,14580,Netherlands,2010-08,77.69,135.03,20.2,1,529,99.04
1855,14309,United Kingdom,2010-03,75.67,19.68,0.0,1,530,99.07
1186,13619,France,2011-11,74.38,0.0,0.0,1,531,99.11
2142,14605,Portugal,2010-06,71.68,202.24,0.0,1,532,99.14
174,12577,United Kingdom,2010-02,71.6,523.87,0.0,2,533,99.17
1641,14086,United Kingdom,2011-09,71.52,0.0,0.0,1,534,99.2
73,12475,Spain,2011-07,71.05,0.0,0.0,1,535,99.23
2053,14513,United Kingdom,2010-11,69.77,365.22,0.0,1,536,99.26
89,12491,Spain,2011-11,69.62,0.0,0.0,1,537,99.29
1737,14184,United Kingdom,2010-04,69.1,138.73,0.0,1,538,99.32
210,12613,Germany,2011-11,68.48,0.0,0.0,1,539,99.35
1424,13864,Netherlands,2011-06,67.16,0.0,10.8,1,540,99.38
908,13334,United Kingdom,2011-04,66.89,0.0,0.0,1,541,99.41
1688,14134,United Kingdom,2010-08,66.69,0.0,0.0,1,542,99.44
271,12677,United Kingdom,2011-08,66.55,0.0,64.87,2,543,99.47
1575,14019,United Kingdom,2011-09,66.52,0.0,0.0,2,544,99.5
746,13168,Switzerland,2011-08,66.47,0.0,0.0,1,545,99.52
2186,14650,United Kingdom,2010-12,66.11,0.0,33.72,2,546,99.55
1269,13704,United Kingdom,2010-07,65.8,0.0,0.0,1,547,99.58
1852,14306,United Kingdom,2010-06,65.46,0.0,0.0,1,548,99.61
252,12657,United Kingdom,2011-07,64.46,0.0,0.0,1,549,99.64
1341,13779,United Kingdom,2010-07,64.29,334.78,0.0,1,550,99.67
1977,14435,United Kingdom,2011-11,62.79,0.0,0.0,2,551,99.69
1963,14420,United Kingdom,2010-10,62.65,0.0,0.0,2,552,99.72
1783,14231,United Kingdom,2011-11,61.32,0.0,0.0,2,553,99.75
774,13196,United Kingdom,2010-10,60.48,156.34,0.0,1,554,99.77
2259,14724,United Kingdom,2011-08,58.85,0.0,16.52,1,555,99.8
1757,14205,United Kingdom,2011-06,57.12,0.0,0.0,1,556,99.82
2250,14714,United Kingdom,2010-10,56.98,0.0,0.0,1,557,99.85
1915,14371,United Kingdom,2010-12,56.75,0.0,0.0,1,558,99.87
1582,14026,United Kingdom,2010-08,55.91,0.0,0.0,1,559,99.9
1088,13516,United Kingdom,2011-05,55.37,0.0,0.0,1,560,99.92
1792,14240,United Kingdom,2011-07,55.12,0.0,0.0,1,561,99.95
448,12860,United Kingdom,2011-03,53.76,0.0,0.0,1,562,99.97
2157,14620,Portugal,2011-07,53.42,0.0,0.0,1,563,99.99
1257,13692,Netherlands,2011-11,52.95,0.0,0.0,1,564,100.01
1913,14368,United Kingdom,2011-07,50.54,0.0,0.0,1,565,100.04
1389,13828,United Kingdom,2010-11,48.19,143.05,0.0,1,566,100.06
1055,13483,United Kingdom,2011-11,48.16,0.0,0.0,1,567,100.08
600,13017,United Kingdom,2011-11,48.15,0.0,0.0,1,568,100.1
1207,13640,United Kingdom,2011-06,47.58,0.0,71.46,2,569,100.12
1120,13550,United Kingdom,2011-08,43.56,0.0,0.0,1,570,100.14
997,13423,United Kingdom,2011-10,42.72,0.0,0.0,1,571,100.16
1813,14264,United Kingdom,2011-06,41.08,0.0,0.0,1,572,100.17
6,12405,United Kingdom,2011-10,40.85,0.0,0.0,1,573,100.19
747,13169,United Kingdom,2010-11,40.84,102.23,0.0,1,574,100.21
722,13143,United Kingdom,2010-02,40.47,0.0,0.0,1,575,100.23
1376,13815,United Kingdom,2011-11,40.46,0.0,0.0,1,576,100.25
1075,13503,United Kingdom,2010-04,40.32,0.0,0.0,1,577,100.26
1525,13968,Germany,2011-07,38.48,0.0,0.0,1,578,100.28
1534,13978,United Kingdom,2011-09,37.82,0.0,0.0,1,579,100.3
222,12625,United Kingdom,2010-04,37.17,0.0,0.0,1,580,100.31
1567,14011,EIRE,2011-05,36.35,0.0,0.0,1,581,100.33
1774,14222,United Kingdom,2010-09,36.16,250.01,0.0,1,582,100.34
1653,14098,United Kingdom,2010-02,35.62,0.0,97.16,2,583,100.36
1827,14280,United Kingdom,2010-11,32.8,519.65,0.0,1,584,100.37
2004,14462,United Kingdom,2010-12,32.8,0.0,0.0,1,585,100.39
2161,14624,United Kingdom,2011-03,32.2,0.0,0.0,1,586,100.4
1239,13674,United Kingdom,2011-08,30.93,0.0,50.76,2,587,100.41
766,13188,United Kingdom,2011-11,30.8,0.0,33.32,1,588,100.43
1118,13548,United Kingdom,2010-10,29.4,329.77,0.0,1,589,100.44
482,12895,United Kingdom,2010-10,28.32,363.0,26.32,1,590,100.45
369,12779,United Kingdom,2011-08,28.22,0.0,0.0,1,591,100.47
1871,14325,United Kingdom,2010-11,27.51,863.82,0.0,1,592,100.48
2270,14735,United Kingdom,2011-05,26.8,0.0,39.51,1,593,100.49
2115,14578,United Kingdom,2011-03,23.8,0.0,0.0,1,594,100.5
467,12879,United Kingdom,2011-10,21.96,0.0,0.0,1,595,100.51
1378,13817,United Kingdom,2011-04,21.28,0.0,0.0,1,596,100.52
391,12802,United Kingdom,2011-06,18.91,0.0,125.0,2,597,100.53
878,13304,United Kingdom,2011-06,16.21,0.0,132.79,2,598,100.53
114,12516,United Kingdom,2011-08,14.58,0.0,0.0,1,599,100.54
1678,14123,United Kingdom,2010-06,12.46,0.0,0.0,1,600,100.55
2077,14538,United Kingdom,2010-08,11.43,210.49,85.59,1,601,100.55
599,13016,United Kingdom,2011-03,8.72,0.0,0.0,1,602,100.55
1619,14064,United Kingdom,2011-11,7.26,0.0,12.1,1,603,100.56
434,12846,United Kingdom,2010-07,7.2,0.0,0.0,1,604,100.56
412,12823,United Kingdom,2011-10,0.0,0.0,30.47,1,605,100.56
446,12858,United Kingdom,2011-08,0.0,0.0,0.0,1,606,100.56
1549,13993,United Kingdom,2011-11,0.0,0.0,68.7,1,607,100.56
1387,13826,United Kingdom,2011-10,-6.84,0.0,6.84,0,608,100.56
345,12753,EIRE,2011-03,-13.25,0.0,49.41,1,609,100.55
2212,14676,United Kingdom,2011-04,-14.04,0.0,14.04,0,610,100.55
1092,13520,United Kingdom,2011-05,-14.63,0.0,14.63,0,611,100.54
1564,14008,United Kingdom,2011-09,-16.64,0.0,16.64,0,612,100.53
2240,14704,United Kingdom,2011-08,-17.71,0.0,17.71,0,613,100.52
1950,14407,United Kingdom,2010-08,-17.88,347.41,17.88,0,614,100.52
197,12600,United Kingdom,2010-05,-24.6,36.45,24.6,0,615,100.51
1267,13702,United Kingdom,2011-02,-25.47,0.0,66.0,1,616,100.49
190,12593,United Kingdom,2011-02,-25.76,0.0,25.76,0,617,100.48
1547,13991,Spain,2010-12,-28.56,0.0,28.56,0,618,100.47
1614,14058,United Kingdom,2011-06,-30.96,0.0,30.96,0,619,100.46
2312,14779,United Kingdom,2010-05,-31.45,91.68,31.45,0,620,100.44
619,13038,United Kingdom,2011-03,-31.92,0.0,31.92,0,621,100.43
1432,13872,Switzerland,2011-05,-35.2,0.0,35.2,0,622,100.41
1809,14260,United Kingdom,2010-03,-36.24,302.91,36.24,0,623,100.4
268,12673,United Kingdom,2011-08,-36.72,0.0,107.37,1,624,100.38
587,13003,United Kingdom,2011-08,-38.76,0.0,38.76,0,625,100.37
2321,14788,United Kingdom,2011-10,-39.7,0.0,39.7,0,626,100.35
558,12974,United Kingdom,2010-11,-41.63,582.62,41.63,0,627,100.33
189,12592,United Kingdom,2010-09,-42.56,126.86,42.56,0,628,100.31
1425,13865,United Kingdom,2011-08,-48.9,0.0,48.9,0,629,100.29
1400,13839,United Kingdom,2010-09,-50.04,78.15,50.04,0,630,100.27
223,12626,Belgium,2010-07,-51.6,633.27,51.6,0,631,100.25
611,13029,United Kingdom,2011-04,-52.43,0.0,194.88,1,632,100.22
506,12920,France,2011-07,-63.2,0.0,63.2,0,633,100.2
253,12658,United Kingdom,2011-10,-64.05,0.0,64.05,0,634,100.17
2273,14738,Germany,2011-01,-70.4,0.0,70.4,0,635,100.14
559,12975,United Kingdom,2010-10,-71.8,928.1,71.8,0,636,100.11
1920,14376,United Kingdom,2010-10,-75.28,276.87,75.28,0,637,100.08
980,13406,United Kingdom,2010-12,-79.93,0.0,79.93,0,638,100.04
1559,14003,United Kingdom,2011-06,-93.42,0.0,93.42,0,639,100.0
